Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,73.91999816894531,74.3499984741211,73.26000213623047,74.33000183105469,68.20508575439453,2880700
2020-01-03,73.5199966430664,74.77999877929688,73.27999877929688,74.31999969482422,68.19590759277344,4155800
2020-01-06,73.88999938964844,75.72000122070312,73.83000183105469,75.66999816894531,69.43466186523438,5897200
2020-01-07,73.0,73.12000274658203,72.16000366210938,72.76000213623047,68.90435028076172,4867700
2020-01-08,72.91999816894531,73.95999908447266,72.87000274658203,73.19000244140625,69.31155395507812,4073700
2020-01-09,73.5,73.94000244140625,73.19000244140625,73.94000244140625,70.02181243896484,2199400
2020-01-10,74.0,74.12999725341797,73.44999694824219,73.69999694824219,69.79451751708984,3650700
2020-01-13,73.69999694824219,74.93000030517578,73.69999694824219,74.91999816894531,70.94988250732422,3795900
2020-01-14,74.81999969482422,75.0,74.0199966430664,74.25,70.31538391113281,3191400
2020-01-15,74.19000244140625,75.97000122070312,74.04000091552734,75.72000122070312,71.70748138427734,4078700
2020-01-16,75.80999755859375,75.97000122070312,74.93000030517578,75.44000244140625,71.44232940673828,3180900
2020-01-17,76.04000091552734,76.98999786376953,75.9000015258789,76.30000305175781,72.25674438476562,4265000
2020-01-21,76.04000091552734,76.72000122070312,75.8499984741211,76.43000030517578,72.37987518310547,2686700
2020-01-22,76.58000183105469,77.16999816894531,76.1500015258789,76.16000366210938,72.12417602539062,2167300
2020-01-23,75.70999908447266,76.37000274658203,75.2300033569336,76.33000183105469,72.28515625,2190000
2020-01-24,76.51000213623047,76.86000061035156,76.29000091552734,76.75,72.68290710449219,1695100
2020-01-27,75.7699966430664,76.44000244140625,75.48999786376953,75.7699966430664,71.75484466552734,2490000
2020-01-28,76.06999969482422,76.7300033569336,75.88999938964844,76.44999694824219,72.3988037109375,4003900
2020-01-29,80.19999694824219,81.23999786376953,78.27999877929688,80.80999755859375,76.52775573730469,5230300
2020-01-30,79.73999786376953,81.87000274658203,78.94999694824219,81.7699966430664,77.4368896484375,4016700
2020-01-31,81.52999877929688,82.29000091552734,80.5,80.69000244140625,76.41412353515625,6531300
2020-02-03,81.12999725341797,82.06999969482422,80.3499984741211,80.56999969482422,76.30048370361328,2745500
2020-02-04,81.30999755859375,81.62999725341797,80.5999984741211,80.91999816894531,76.6319351196289,2166900
2020-02-05,81.5999984741211,83.0,81.37000274658203,83.0,78.60171508789062,2184500
2020-02-06,83.02999877929688,83.7699966430664,82.7300033569336,83.05999755859375,78.65852355957031,2804900
2020-02-07,83.0,83.66000366210938,82.66999816894531,83.26000213623047,78.84793853759766,2211900
2020-02-10,83.27999877929688,83.75,83.19999694824219,83.58999633789062,79.16043090820312,1512300
2020-02-11,83.5999984741211,84.05999755859375,83.33000183105469,83.66000366210938,79.22673797607422,2709400
2020-02-12,83.80000305175781,83.83000183105469,82.12000274658203,83.23999786376953,78.8290023803711,2887700
2020-02-13,83.19999694824219,83.94999694824219,82.86000061035156,83.86000061035156,79.4161376953125,1689700
